Feature,Gain,Cover,Frequency,Horizon,Horizon_number,Component
neighbor_cases_mean_lag1,0.1291165268222467,0.024608592448901265,0.02341031319202784,H+1,1,XGBoost classifier
dengue_cases_lag1,0.12654983952261054,0.03493045245846372,0.017399557102182852,H+1,1,XGBoost classifier
dengue_cases_lag2,0.0896955824242903,0.02663912633349494,0.015817779183802595,H+1,1,XGBoost classifier
neighbor_cases_mean_lag2,0.08825180958174048,0.008843767120109569,0.014710534640936412,H+1,1,XGBoost classifier
dengue_cases_lag3,0.06605146001863416,0.025457612352233275,0.014552356849098386,H+1,1,XGBoost classifier
pop_density,0.04875792903319597,0.054932624496532356,0.04666244859221765,H+1,1,XGBoost classifier
barangay_area_m2,0.029570221159579593,0.03891307409157839,0.03590635874723189,H+1,1,XGBoost classifier
city_incidence_mean_lag1,0.024167594630800277,0.03331119693234443,0.029737424865548878,H+1,1,XGBoost classifier
neighbor_cases_mean_lag3,0.02178001721259602,0.008556632587022921,0.015343245808288516,H+1,1,XGBoost classifier
dengue_incidence_10000_lag1,0.018153162906023212,0.012403749585849895,0.014394179057260361,H+1,1,XGBoost classifier
city_cases_lag1,0.01746068382153892,0.02001176857818564,0.020879468522619425,H+1,1,XGBoost classifier
neighbor_incidence_mean_lag3,0.011656203373868801,0.008883805116323565,0.01834862385321101,H+1,1,XGBoost classifier
rainfall_rollmean_lag1_w4,0.011396494748074075,0.030517541984655575,0.025782980069598227,H+1,1,XGBoost classifier
dengue_incidence_10000_lag2,0.011389901026788144,0.006598821320631756,0.011230623220499843,H+1,1,XGBoost classifier
city_incidence_mean_lag2,0.010983178190049287,0.022611338743247514,0.019297690604239165,H+1,1,XGBoost classifier
percent_built_up,0.010968982271200226,0.022947990307461117,0.015501423600126542,H+1,1,XGBoost classifier
target_log_incidence_lag1,0.010850408355379792,0.0029587768109229098,0.002689022461246441,H+1,1,XGBoost classifier
rh_rollmean_lag1_w4,0.01063770273011187,0.025733636303329286,0.02182853527364758,H+1,1,XGBoost classifier
dengue_incidence_10000_lag3,0.010392462508399876,0.007040395310399564,0.010439734261309713,H+1,1,XGBoost classifier
v_component_of_wind_10m_lag9,0.009768495200864183,0.028259255963074496,0.023093957608351787,H+1,1,XGBoost classifier
rainfall_lag3,0.00963037398093547,0.023893271488376163,0.02341031319202784,H+1,1,XGBoost classifier
city_cases_lag2,0.00846955738967065,0.008138660658724152,0.009807023093957609,H+1,1,XGBoost classifier
neighbor_incidence_mean_lag1,0.007247364201802858,0.011736027531934002,0.020721290730781397,H+1,1,XGBoost classifier
flood_risk_index,0.007150711301662378,0.016887153037747914,0.018032268269534957,H+1,1,XGBoost classifier
rainfall_rollmean_lag1_w8,0.007016187167730741,0.010420602422209213,0.014868712432774439,H+1,1,XGBoost classifier
percent_perennial_crop,0.006958077584805705,0.01824538301082931,0.013445112306232205,H+1,1,XGBoost classifier
neighbor_incidence_mean_lag2,0.006841555735616168,0.01031558320279988,0.019297690604239165,H+1,1,XGBoost classifier
temp_c_lag14,0.006589016701962041,0.020329970980003772,0.017715912685858905,H+1,1,XGBoost classifier
u_component_of_wind_10m_rollmean_lag1_w4,0.006262011246265758,0.016832470004449096,0.015501423600126542,H+1,1,XGBoost classifier
u_component_of_wind_10m_lag7,0.006143011045556565,0.011421968245259756,0.015659601391964567,H+1,1,XGBoost classifier
v_component_of_wind_10m_lag10,0.0060303060964830195,0.011075562058388467,0.01597595697564062,H+1,1,XGBoost classifier
rh_lag18,0.0055429659049207915,0.01095300920274176,0.016292312559316673,H+1,1,XGBoost classifier
rh_lag20,0.0055226253738242855,0.01779090669604955,0.016134134767478645,H+1,1,XGBoost classifier
rh_rollmean_lag1_w8,0.005489299657236579,0.015307068167271794,0.01518506801645049,H+1,1,XGBoost classifier
v_component_of_wind_10m_rollmean_lag1_w4,0.005478035763775607,0.0076416888827797146,0.008857956342929452,H+1,1,XGBoost classifier
rainfall_lag19,0.005434180740207394,0.006652209683283182,0.01597595697564062,H+1,1,XGBoost classifier
u_component_of_wind_10m_rollmean_lag1_w8,0.005334627417347678,0.0112219304292022,0.014077823473584309,H+1,1,XGBoost classifier
v_component_of_wind_10m_lag8,0.005305185668762085,0.012682345125655903,0.014077823473584309,H+1,1,XGBoost classifier
temp_c_rollmean_lag1_w4,0.005106102198333146,0.01644713916203806,0.013761467889908258,H+1,1,XGBoost classifier
rh_lag19,0.0049683672332459785,0.006719554959018791,0.011388801012337867,H+1,1,XGBoost classifier
wind_speed_10m_rollmean_lag1_w4,0.004918560724851092,0.005262936356944524,0.01170515659601392,H+1,1,XGBoost classifier
rainfall_lag20,0.0049021059174605254,0.006601374311395791,0.01518506801645049,H+1,1,XGBoost classifier
temp_c_rollmean_lag1_w8,0.00485066379538208,0.012668578418837253,0.012970578930718128,H+1,1,XGBoost classifier
u_component_of_wind_10m_lag8,0.004687282211097877,0.00657079252534289,0.01249604555520405,H+1,1,XGBoost classifier
week_sin,0.004536751325391865,0.009174991465546645,0.010597912053147737,H+1,1,XGBoost classifier
v_component_of_wind_10m_rollmean_lag1_w8,0.004521141713822751,0.006210873240006994,0.009016134134767479,H+1,1,XGBoost classifier
week_cos,0.004484555304090878,0.008144058289859374,0.009807023093957609,H+1,1,XGBoost classifier
wind_speed_10m_lag14,0.004441915227569705,0.006471345504152479,0.012654223347042075,H+1,1,XGBoost classifier
temp_c_lag13,0.004402767597097625,0.005073831174349184,0.010597912053147737,H+1,1,XGBoost classifier
city_incidence_mean_lag3,0.004244545675214929,0.011632143632589603,0.01091426763682379,H+1,1,XGBoost classifier
wind_speed_10m_lag12,0.004201198050052199,0.0069400598146088215,0.013286934514394179,H+1,1,XGBoost classifier
wind_speed_10m_rollmean_lag1_w8,0.004072726178346801,0.005404368241146804,0.011230623220499843,H+1,1,XGBoost classifier
city_cases_lag3,0.0038336656829587577,0.006005769174396832,0.009174311926605505,H+1,1,XGBoost classifier
barangay_area_km2,0.0036933543980784862,0.005447124496235554,0.00506168933881683,H+1,1,XGBoost classifier
wind_speed_10m_lag13,0.00359288565124431,0.007958784706813039,0.01249604555520405,H+1,1,XGBoost classifier
u_component_of_wind_10m_lag6,0.0034307773033741447,0.005808696039998042,0.01091426763682379,H+1,1,XGBoost classifier
barangayGUADALUPE,0.0033029006152654906,0.010759134915048638,0.005536222714330908,H+1,1,XGBoost classifier
target_log_incidence_lag3,0.0028203468234715306,0.0015141741726632145,0.0017399557102182853,H+1,1,XGBoost classifier
temp_c_lag12,0.002810216236829727,0.0049300280520366,0.009807023093957609,H+1,1,XGBoost classifier
percent_brush_shrubs,0.002583965180979981,0.006276687566645361,0.0071180006327111675,H+1,1,XGBoost classifier
barangayPAHINA SAN NICOLAS,0.002381559041061846,0.00808166471723646,0.0037962670041126224,H+1,1,XGBoost classifier
